[ 2021-04-26 23:03:46,926 ] qrc:/qml/StoreMainPage.qml:76:9: QML Image: Error decoding: http://127.0.0.1/Store//home/banner_mistfall.png: Unsupported image format
[ 2021-04-26 23:03:46,926 ] qrc:/qml/StoreMainPage.qml:76:9: QML Image: Error decoding: http://127.0.0.1/Store//home/banner_dolwatha.png: Unsupported image format
[ 2021-04-26 23:03:46,928 ] qrc:/qml/StoreMainPage.qml:76:9: QML Image: Error decoding: http://127.0.0.1/Store//home/banner_falanaar.png: Unsupported image format
[ 2021-04-26 23:03:46,928 ] qrc:/qml/StoreMainPage.qml:76:9: QML Image: Error decoding: http://127.0.0.1/Store//home/banner_mordragor.png: Unsupported image format
[ 2021-04-26 23:03:46,928 ] qrc:/qml/StoreMainPage.qml:76:9: QML Image: Error decoding: http://127.0.0.1/Store//home/liombera_custom.png: Unsupported image format
[ 2021-04-26 23:03:46,928 ] qrc:/qml/StoreMainPage.qml:76:9: QML Image: Error decoding: http://127.0.0.1/Store//home/banner_freewind.png: Unsupported image format
[ 2021-04-26 23:05:29,508 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-04-26 23:05:29,549 ] Disconnected from gameserver
[ 2021-04-26 23:05:29,659 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-05-10 09:10:48,895 ] Asset loading complete
[ 2021-05-10 09:10:59,001 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-05-16 19:54:41,850 ] Asset loading complete
[ 2021-05-16 19:54:47,932 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-05-16 19:54:48,327 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Tester" )
[ 2021-05-16 19:54:48,341 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Global"
[ 2021-05-16 19:54:48,352 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Global"
[ 2021-05-16 19:54:50,551 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-05-16 19:55:45,742 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-05-16 19:55:45,783 ] Disconnected from gameserver
[ 2021-05-16 19:55:45,859 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-05-19 11:34:49,040 ] Asset loading complete
[ 2021-05-19 11:34:53,854 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-05-19 11:34:54,971 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2021-05-19 11:34:54,972 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Global"
[ 2021-05-19 11:34:56,021 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-05-19 11:34:59,058 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Global"  was disconnected ( "Connection refused" )
[ 2021-05-19 11:35:00,058 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Global"
[ 2021-05-19 11:35:04,162 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Global"  was disconnected ( "Connection refused" )
[ 2021-05-19 11:35:04,168 ] Disconnected from gameserver
[ 2021-05-19 11:35:05,345 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2021-05-19 11:35:05,346 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Global"
[ 2021-05-19 11:35:06,413 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-05-19 11:35:09,466 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Global"  was disconnected ( "Connection refused" )
[ 2021-05-19 11:35:10,467 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Global"
[ 2021-05-19 11:35:14,570 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Global"  was disconnected ( "Connection refused" )
[ 2021-05-19 11:35:14,574 ] Disconnected from gameserver
[ 2021-05-19 11:35:15,737 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2021-05-19 11:35:15,744 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Global"
